Country 	State 	District 	Tehsil 	Village 	Pin code	Lat	Long 
LK	Central Province	29	Kandy	Kandy	20000	7.2955	80.6356
LK	Central Province	29	Kandy	Halloluwa	20032	7.2031	80.3386
LK	Central Province	29	Kandy	Yatihalagala	20034	7.2932	80.5982
LK	Central Province	29	Kandy	lhala Kobbekaduwa	20042	7.3154	80.5887
LK	Central Province	29	Kandy	Sangarajapura	20044	7.3154	80.5887
LK	Central Province	29	Kandy	Kulugammana	20048	7.3154	80.5887
LK	Central Province	29	Kandy	Uduwa	20052	7.3637	80.4845
LK	Central Province	29	Kandy	Hataraliyadda	20060	7.3369	80.4658
LK	Central Province	29	Kandy	Aludeniya	20062	7.3686	80.4672
LK	Central Province	29	Kandy	Dedunupitiya	20068	7.3353	80.4313
LK	Central Province	29	Kandy	Nugawela	20072	7.3333	80.6
LK	Central Province	29	Kandy	Werellagama	20080	7.3167	80.5833
LK	Central Province	29	Kandy	Pallekotuwa	20084	7.3373	80.5663
LK	Central Province	29	Kandy	Kumburegama	20086	7.358	80.5493
LK	Central Province	29	Kandy	Harankahawa	20092	7.4012	80.5289
LK	Central Province	29	Kandy	Udahingulwala	20094	7.4012	80.5289
LK	Central Province	29	Kandy	Gallellagama	20095	7.4012	80.5289
LK	Central Province	29	Kandy	Galagedara	20100	7.373	80.5206
LK	Central Province	29	Kandy	Poholiyadda	20106	7.3472	80.5208
LK	Central Province	29	Kandy	Wettawa	20108	7.3526	80.5147
LK	Central Province	29	Kandy	Minigamuwa	20109	7.3376	80.5026
LK	Central Province	29	Kandy	Pujapitiya	20112	7.3742	80.586
LK	Central Province	29	Kandy	Pattiya Watta	20118	7.3742	80.586
LK	Central Province	29	Kandy	Medawala Harispattuwa	20120	7.3449	80.6814
LK	Central Province	29	Kandy	Dolapihilla	20126	7.3899	80.5794
LK	Central Province	29	Kandy	Rambukwella	20128	7.3	80.7833
LK	Central Province	29	Kandy	Batugoda	20132	7.362	80.5891
LK	Central Province	29	Kandy	Watagoda Harispattuwa	20134	7.356	80.6051
LK	Central Province	29	Kandy	Ambatenna	20136	7.3501	80.6211
LK	Central Province	29	Kandy	Alawatugoda	20140	7.4042	80.6087
LK	Central Province	29	Kandy	Wilanagama	20142	7.4042	80.6087
LK	Central Province	29	Kandy	Ankumbura	20150	7.4333	80.5667
LK	Central Province	29	Kandy	Galhinna	20152	7.4162	80.5639
LK	Central Province	29	Kandy	Batagolladeniya	20154	7.4173	80.5617
LK	Central Province	29	Kandy	Ampitiya	20160	7.2715	80.656
LK	Central Province	29	Kandy	Uduwela	20164	7.2754	80.6697
LK	Central Province	29	Kandy	Tennekumbura	20166	7.2809	80.6531
LK	Central Province	29	Kandy	Kundasale	20168	7.2737	80.7001
LK	Central Province	29	Kandy	Menikhinna	20170	7.3184	80.6995
LK	Central Province	29	Kandy	Lunuketiya Maditta	20172	7.3332	80.7127
LK	Central Province	29	Kandy	Naranpanawa	20176	7.3481	80.7259
LK	Central Province	29	Kandy	Rajawella	20180	7.2959	80.7361
LK	Central Province	29	Kandy	Gomagoda	20184	7.3245	80.7313
LK	Central Province	29	Kandy	Kengalla	20186	7.2945	80.711
LK	Central Province	29	Kandy	Gurudeniya	20189	7.2642	80.6859
LK	Central Province	29	Kandy	Nattarampotha	20194	7.3022	80.6762
LK	Central Province	29	Kandy	Pilawala	20196	7.3022	80.6762
LK	Central Province	29	Kandy	Ketawala Leula	20198	7.3022	80.6762
LK	Central Province	29	Kandy	Talatuoya	20200	7.2507	80.6899
LK	Central Province	29	Kandy	Etulgama	20202	7.2425	80.6687
LK	Central Province	29	Kandy	Nugaliyadda	20204	7.2291	80.6889
LK	Central Province	29	Kandy	Kapuliyadde	20206	7.2408	80.6825
LK	Central Province	29	Kandy	Marassana	20210	7.2251	80.7352
LK	Central Province	29	Kandy	Kolabissa	20212	7.2278	80.7174
LK	Central Province	29	Kandy	Godamunna	20214	7.2305	80.6995
LK	Central Province	29	Kandy	Mahamedagama	20216	7.2278	80.7174
LK	Central Province	29	Kandy	Bawlana	20218	7.2278	80.7174
LK	Central Province	29	Kandy	Murutalawa	20232	7.2928	80.572
LK	Central Province	29	Kandy	Yahalatenna	20234	7.2928	80.572
LK	Central Province	29	Kandy	Polgolla	20250	7.3308	80.6461
LK	Central Province	29	Kandy	Madawala Bazaar	20260	7.2574	80.6715
LK	Central Province	29	Kandy	Gunnepana	20270	7.2574	80.6715
LK	Central Province	29	Kandy	Kadugannawa	20300	7.2547	80.5242
LK	Central Province	29	Kandy	Ketakumbura	20306	7.2103	80.5795
LK	Central Province	29	Kandy	Balana	20308	7.2706	80.4832
LK	Central Province	29	Kandy	Peradeniya	20400	7.2622	80.5841
LK	Central Province	29	Kandy	Uda Peradeniya	20404	7.2622	80.5841
LK	Central Province	29	Kandy	Megoda Kalugamuwa	20409	7.2622	80.5841
LK	Central Province	29	Kandy	Hindagala	20414	7.2333	80.6
LK	Central Province	29	Kandy	Nillambe	20418	7.1513	80.6419
LK	Central Province	29	Kandy	Galaha	20420	7.1979	80.6645
LK	Central Province	29	Kandy	Deltota	20430	7.1944	80.6917
LK	Central Province	29	Kandy	Handawalapitiya	20438	7.1944	80.6917
LK	Central Province	29	Kandy	Hewaheta	20440	7.107	80.7648
LK	Central Province	29	Kandy	Kiribathkumbura	20442	7.107	80.7648
LK	Central Province	29	Kandy	Pilimatalawa	20450	7.2689	80.5441
LK	Central Province	29	Kandy	Wattappola	20454	7.2373	80.5431
LK	Central Province	29	Kandy	Danture	20465	7.2825	80.5352
LK	Central Province	29	Kandy	Menikdiwela	20470	7.2892	80.5041
LK	Central Province	29	Kandy	Handessa	20480	7.2333	80.5833
LK	Central Province	29	Kandy	Leemagahakotuwa	20482	7.2333	80.5833
LK	Central Province	29	Kandy	Gampola	20500	7.1643	80.5696
LK	Central Province	29	Kandy	Udahentenna	20506	7.0969	80.5128
LK	Central Province	29	Kandy	Dolosbage	20510	7.0808	80.4693
LK	Central Province	29	Kandy	Pattitalawa	20511	7.1145	80.4699
LK	Central Province	29	Kandy	Meetalawa	20512	7.0976	80.4696
LK	Central Province	29	Kandy	Hondiyadeniya	20524	7.1049	80.5917
LK	Central Province	29	Kandy	Muruthagahamulla	20526	7.1049	80.5917
LK	Central Province	29	Kandy	Doluwa	20532	7.1794	80.598
LK	Central Province	29	Kandy	Panwilatenna	20544	7.1574	80.6373
LK	Central Province	29	Kandy	Pupuressa	20546	7.1262	80.6692
LK	Central Province	29	Kandy	Ulapane	20562	7.1031	80.5572
LK	Central Province	29	Kandy	Mawatura	20564	7.1	80.5667
LK	Central Province	29	Kandy	Atabage	20574	7.1354	80.6091
LK	Central Province	29	Kandy	Paradeka	20578	7.1123	80.607
LK	Central Province	29	Kandy	Pussellawa	20580	7.1073	80.6322
LK	Central Province	29	Kandy	Weligalla	20610	7.1907	80.5865
LK	Central Province	29	Kandy	Gelioya	20620	7.2157	80.5967
LK	Central Province	29	Kandy	Velamboda	20640	7.0447	80.5235
LK	Central Province	29	Kandy	Bambaragahaela	20644	7.0447	80.5235
LK	Central Province	29	Kandy	Nawalapitiya	20650	7.0534	80.5321
LK	Central Province	29	Kandy	Pasbage	20654	7.035	80.5244
LK	Central Province	29	Kandy	Gonawalapatana	20656	7.035	80.5244
LK	Central Province	29	Kandy	Dekinda	20658	7.0167	80.5167
LK	Central Province	29	Kandy	Mapakanda	20662	7.0243	80.5504
LK	Central Province	29	Kandy	Galaboda	20664	6.9864	80.5295
LK	Central Province	29	Kandy	Weligampola	20666	7.0243	80.5504
LK	Central Province	29	Kandy	Rambukpitiya	20676	7.0359	80.5174
LK	Central Province	29	Kandy	Mailapitiya	20702	7.1998	80.7552
LK	Central Province	29	Kandy	Unuwinna	20708	7.1998	80.7552
LK	Central Province	29	Kandy	Hanguranketha	20710	7.1252	80.7879
LK	Central Province	29	Kandy	Gonagantenna	20712	7.1252	80.7879
LK	Central Province	29	Kandy	Marymount Colony	20714	7.1252	80.7879
LK	Central Province	29	Kandy	Udawatta	20722	7.1727	80.8149
LK	Central Province	29	Kandy	lllagolla	20724	7.1727	80.8149
