Country 	State 	District 	Tehsil 	Village 	Pin code	Lat	Long 
NP	Sudurpashchim	Achham	Mangalsen				
NP	Sudurpashchim	Achham	Panchadewal Binayak				
NP	Sudurpashchim	Achham	Sanphebagar				
NP	Sudurpashchim	Achham	Kamalbazar				
NP	Lumbini	Arghakhanchi	Sandhikharka				
NP	Lumbini	Arghakhanchi	Sitganga				
NP	Lumbini	Arghakhanchi	Bhumikasthan				
NP	Gandaki	Baglung	Baglung				
NP	Gandaki	Baglung	Galkot				
NP	Gandaki	Baglung	Dhorpatan				
NP	Gandaki	Baglung	Jaimini				
NP	Sudurpashchim	Baitadi	Puchaudi				
NP	Sudurpashchim	Baitadi	Dasharathchand				
NP	Sudurpashchim	Baitadi	Patan				
NP	Sudurpashchim	Baitadi	Melauli				
NP	Sudurpashchim	Bajhang	Bungal				
NP	Sudurpashchim	Bajhang	Jaya Prithvi				
NP	Sudurpashchim	Bajura	Budhiganga				
NP	Sudurpashchim	Bajura	Budhinanda				
NP	Sudurpashchim	Bajura	Badimalika				
NP	Sudurpashchim	Bajura	Tribeni				
NP	Lumbini	Banke	Kohalpur				
NP	Madhesh	Bara	Mahagadhimai				
NP	Madhesh	Bara	Simraungadh				
NP	Madhesh	Bara	Kolhabi				
NP	Madhesh	Bara	Pacharauta				
NP	Madhesh	Bara	Nijgadh				
NP	Lumbini	Bardiya	Gulariya				
NP	Lumbini	Bardiya	Barbardiya				
NP	Lumbini	Bardiya	Bansgadhi				
NP	Lumbini	Bardiya	Rajapur				
NP	Lumbini	Bardiya	Madhuwan				
NP	Lumbini	Bardiya	Thakurbaba				
NP	Bagmati	Bhaktapur	Suryabinayak				
NP	Bagmati	Bhaktapur	Madhyapur Thimi				
NP	Bagmati	Bhaktapur	Changunarayan				
NP	Bagmati	Bhaktapur	Bhaktapur				
NP	Koshi	Bhojpur	Shadananda				
NP	Koshi	Bhojpur	Bhojpur				
NP	Bagmati	Chitwan	Ratnanagar			27.676	84.438
NP	Bagmati	Chitwan	Khairhani				
NP	Bagmati	Chitwan	Rapti				
NP	Bagmati	Chitwan	Kalika				
NP	Bagmati	Chitwan	Madi				
NP	Sudurpashchim	Dadeldhura	Parshuram				
NP	Sudurpashchim	Dadeldhura	Amargadhi				
NP	Karnali	Dailekh	Dullu				
NP	Karnali	Dailekh	Aathabis				
NP	Karnali	Dailekh	Chamunda Bindrasaini				
NP	Karnali	Dailekh	Narayan				
NP	Lumbini	Dang	Lamahi				
NP	Sudurpashchim	Darchula	Mahakali				
NP	Sudurpashchim	Darchula	Shailyashikhar				
NP	Bagmati	Dhading	Nilkantha				
NP	Bagmati	Dhading	Dhunibeshi				
NP	Koshi	Dhankuta	Dhankuta				
NP	Koshi	Dhankuta	Mahalaxmi				
NP	Koshi	Dhankuta	Pakhribas				
NP	Madhesh	Dhanusa	Mithila Bihari				
NP	Madhesh	Dhanusha	Sabaila				
NP	Madhesh	Dhanusha	Shahidnagar				
NP	Madhesh	Dhanusha	Dhanushadham				
NP	Madhesh	Dhanusha	Chhireshwarnath				
NP	Madhesh	Dhanusha	Mithila				
NP	Madhesh	Dhanusha	Hansapur				
NP	Madhesh	Dhanusha	Kamala				
NP	Madhesh	Dhanusha	Ganeshman Charanath				
NP	Madhesh	Dhanusha	Nagarain				
NP	Madhesh	Dhanusha	Bideha				
NP	Bagmati	Dolakha	Bhimeshwar				
NP	Bagmati	Dolakha	Jiri				
NP	Karnali	Dolpa	Tripura Sundari				
NP	Karnali	Dolpa	Thuli Bheri				
NP	Sudurpashchim	Doti	Dipayal Silgadhi				
NP	Sudurpashchim	Doti	Shikhar				
NP	Gandaki	Gorkha	Gorkha				
NP	Gandaki	Gorkha	Palungtar				
NP	Lumbini	Gulmi	Resunga				
NP	Lumbini	Gulmi	Musikot				
NP	Koshi	Ilam	Suryodaya				
NP	Koshi	Ilam	Ilam				
NP	Koshi	Ilam	Deumai				
NP	Koshi	Ilam	Mai				
NP	Karnali	Jajarkot	Bheri				
NP	Karnali	Jajarkot	Chhedagad				
NP	Karnali	Jajarkot	Nalgad				
NP	Koshi	Jhapa	Mechinagar				
NP	Koshi	Jhapa	Birtamod				
NP	Koshi	Jhapa	Damak				
